732,3018,71,0,
700,3051,71,1,
780,3051,71,1,
772,3052,71,1,
796,3182,71,1,
710,3199,71,0,
730,3210,71,1,
702,3223,71,1,
702,3235,71,1,
730,3243,71,1,
704,3306,71,0,
739,3306,71,0,
739,3325,71,1,
731,3351,71,1,
731,3356,71,0,
729,3383,71,1,
736,3425,71,0,
745,3427,71,1,
789,3446,71,1,
704,3456,71,0,
801,3467,71,1,
789,3529,71,1,
813,3558,71,1,
819,3566,71,1,
819,3586,71,1,
745,3594,71,0,
819,3596,71,1,
745,3602,71,0,
736,3607,71,1,
784,3620,71,1,
812,3649,71,1,
813,3663,71,1,
811,3748,71,1,
811,3749,71,1,
811,3750,71,1,
811,3760,71,1,
723,3991,71,1,
739,3992,71,1,
731,4016,71,1,
747,4018,71,1,
739,4038,71,1,
784,4081,71,1,
728,4083,71,1,
784,4109,71,1,
769,4146,71,0,
720,4165,71,0,
742,4185,71,1,
809,4192,71,0,
810,4208,71,1,
757,4237,71,1,
772,4240,71,1,
762,4254,71,0,
834,4296,71,1,
762,4306,71,1,
834,4385,71,0,
721,4418,71,1,
757,4435,71,1,
834,4449,71,1,
757,4452,71,1,
814,4459,71,1,
757,4460,71,1,
810,4483,71,1,
840,4505,71,1,
840,4507,71,1,
728,4515,71,1,
703,4541,71,0,
829,4564,71,1,
787,4602,71,1,
787,4616,71,0,
710,4625,71,1,
703,4629,71,1,
809,4652,71,1,
775,4687,71,1,
792,4706,71,1,
796,4729,71,1,
763,4734,71,1,
763,4740,71,1,
763,4745,71,1,
818,4747,71,1,
809,4750,71,1,
763,4751,71,1,
809,4761,71,1,
809,4762,71,1,
728,4763,71,1,
763,4806,71,0,
774,4831,71,0,
774,4837,71,1,
770,4852,71,1,
797,4869,71,1,
814,5011,71,1,
752,5023,71,1,
758,5043,71,1,
758,5056,71,0,
786,5087,71,1,
724,5089,71,1,
752,5090,71,0,
752,5153,71,1,
793,5221,71,1,
733,5250,71,0,
464,3020,60,1,
468,3024,60,0,
464,3025,60,1,
468,3026,60,1,
464,3638,60,0,
468,3681,60,1,
464,3693,60,0,
468,3695,60,0,
470,4129,60,1,
470,4130,60,1,
470,4198,60,1,
454,4576,60,0,
454,4582,60,0,
460,4627,60,0,
460,4674,60,0,
460,4716,60,1,
453,4832,60,0,
469,4892,60,0,
459,5083,60,1,
459,5257,60,0,
482,3224,61,0,
482,3227,61,0,
491,3396,61,1,
482,3399,61,0,
491,3425,61,0,
473,3582,61,1,
482,3609,61,0,
500,4145,61,0,
482,4435,61,0,
498,4566,61,1,
498,4582,61,1,
498,4584,61,0,
486,4628,61,1,
500,4644,61,0,
480,4656,61,0,
480,4753,61,1,
503,4777,61,0,
480,4806,61,0,
480,4807,61,1,
472,4928,61,1,
514,3304,62,0,
516,3648,62,1,
516,3682,62,1,
516,3686,62,1,
516,3745,62,1,
516,3775,62,0,
519,4101,62,1,
504,4125,62,1,
519,4509,62,1,
519,4522,62,0,
504,4523,62,0,
504,4544,62,0,
533,4670,62,1,
515,4749,62,1,
515,4750,62,0,
507,4805,62,1,
522,4978,62,0,
527,5034,62,0,
523,5196,62,1,
523,5233,62,1,
400,4099,58,0,
402,4415,58,0,
413,4492,58,0,
396,5025,58,0,
396,5027,58,0,
442,3330,59,0,
437,3353,59,0,
423,3638,59,0,
416,4099,59,0,
437,4103,59,1,
437,4136,59,0,
439,4212,59,0,
439,4226,59,0,
417,4298,59,0,
437,4415,59,0,
437,4523,59,0,
422,4573,59,0,
422,4609,59,0,
422,4619,59,0,
428,4627,59,0,
422,4675,59,1,
440,4793,59,0,
445,4806,59,0,
430,4996,59,1,
439,5025,59,0,
417,5027,59,1,
430,5100,59,0,
446,5182,59,0,
446,5206,59,0,
446,5209,59,0,
446,5231,59,0,
446,5237,59,0,
446,5252,59,1,
415,5317,59,0,
430,5317,59,1,
446,5319,59,1,
