1,77,201,1
2,75,201,1
3,16,231,2
4,47,231,2
5,88,231,2
6,23,202,3
7,18,202,3
8,68,213,4
9,85,213,4
10,40,213,4
11,87,212,5
12,71,212,5
13,81,211,6
14,60,211,6
15,74,211,6
16,89,210,7
17,80,210,7
18,84,210,7
19,78,230,8
20,20,230,8
21,51,230,8
22,73,216,9
23,66,216,9
24,82,216,9
25,72,216,9
26,5,216,9
27,53,216,9
28,57,214,10
29,6,214,10
30,34,214,10
31,14,215,11
32,33,215,11
33,86,220,12
34,61,220,12
35,30,220,12
36,69,220,12
37,539,10206,13
38,342,10206,13
39,433,10206,13
40,205,10206,13
41,505,10206,13
42,490,10206,13
43,546,10206,13
44,379,10206,13
45,244,10206,13
46,380,10206,13
47,323,10206,13
48,249,10206,13
49,346,10206,13
50,283,10206,13
51,440,10206,13
52,333,10206,13
53,291,10207,14
54,340,10207,14
55,511,10207,14
56,518,10207,14
57,513,10207,14
58,220,10207,14
59,426,10207,14
60,343,10207,14
61,255,10207,14
62,334,10207,14
63,489,10207,14
64,431,10208,15
65,212,10208,15
66,265,10208,15
67,532,10208,15
68,414,10208,15
69,318,10208,15
70,284,10208,15
71,243,10208,15
72,251,10208,15
73,336,10208,15
74,298,10208,15
75,510,10211,16
76,268,10211,16
77,415,10211,16
78,359,10211,16
79,252,10211,16
80,273,10211,16
81,272,10211,16
82,544,10211,16
83,320,10211,16
84,587,10211,16
85,493,10211,16
86,281,10211,16
87,226,10211,16
88,353,10211,16
89,355,10211,16
90,427,10211,16
91,514,10211,16
92,476,10212,17
93,247,10212,17
94,266,10212,17
95,329,10212,17
96,497,10226,18
97,234,10226,18
98,411,10226,18
99,408,10226,18
100,267,10226,18
101,331,10226,18
102,556,10226,18
103,512,10226,18
104,542,10226,18
105,239,10226,18
106,362,10226,18
107,304,10226,18
108,417,10226,18
109,394,10209,19
110,568,10209,19
111,515,10209,19
112,442,10209,19
113,207,10209,19
114,316,10209,19
115,377,10209,19
116,524,10209,19
117,270,10209,19
118,370,10213,20
119,294,10213,20
120,269,10213,20
121,384,10213,20
122,586,10213,20
123,211,10213,20
124,553,10213,20
125,229,10213,20
126,536,10213,20
127,300,10213,20
128,558,10213,20
129,468,10213,20
130,494,10213,20
131,466,10213,20
132,378,10213,20
133,245,10213,20
134,373,10213,20
135,478,10213,20
136,271,10213,20
137,521,10213,20
